training_seed,split,protocol,metric,specialist_value,multitask_value,delta,delta_definition
44,validation,binary,Accuracy,0.7240125999515387,0.7231241418302238,-0.0008884581213148834,M1-Y - Y96
44,validation,k5,HR@1,0.6352422907488987,0.6206167400881057,0.014625550660792963,N96 - M1-N
44,validation,k5,NDCG@5,0.8345124329410781,0.8291123175309154,0.00540011541016272,N96 - M1-N
44,validation,k5,MRR,0.778957415565344,0.7716211453744493,0.007336270190894778,N96 - M1-N
44,validation,k20_seed42,HR@1,0.2452863436123348,0.19418502202643173,0.05110132158590308,N96 - M1-N
44,validation,k20_seed42,NDCG@5,0.3509868580977709,0.24504960260626638,0.10593725549150454,N96 - M1-N
44,validation,k20_seed42,MRR,0.38995501935436605,0.32281803130547954,0.06713698804888651,N96 - M1-N
44,validation,k50_seed42,HR@1,0.07947136563876651,0.06907488986784141,0.010396475770925104,N96 - M1-N
44,validation,k50_seed42,NDCG@5,0.10060689012540935,0.09067716232606007,0.00992972779934928,N96 - M1-N
44,validation,k50_seed42,MRR,0.15983718538588396,0.14182564583881627,0.01801153954706769,N96 - M1-N
42,test,binary,AUC,0.7853511126,0.7864837284,0.0011326158000000142,M1-Y - Y96
42,test,binary,F1,0.7780238029,0.7835646558,0.0055408529000000595,M1-Y - Y96
42,test,binary,Accuracy,0.7221067221,0.7271309771,0.005024254999999922,M1-Y - Y96
42,test,k5,HR@1,0.6100440529,0.5973568282,0.012687224699999944,N96 - M1-N
42,test,k5,NDCG@5,0.8218966233,0.8162307888,0.005665834500000022,N96 - M1-N
42,test,k5,MRR,0.7622026432,0.7546490455,0.00755359769999997,N96 - M1-N
42,test,k20_seed42,HR@1,0.3758590308370044,0.2611453744493392,0.11471365638766517,N96 - M1-N
42,test,k20_seed42,NDCG@5,0.5014430507361404,0.37551050733874575,0.12593254339739463,N96 - M1-N
42,test,k20_seed42,MRR,0.5099145579215411,0.4040452485576725,0.10586930936386857,N96 - M1-N
42,test,k50_seed42,HR@1,0.08299559471365639,0.06907488986784141,0.01392070484581498,N96 - M1-N
42,test,k50_seed42,NDCG@5,0.12530579177654286,0.09752771100003052,0.027778080776512337,N96 - M1-N
42,test,k50_seed42,MRR,0.17460505996585443,0.15118706139120325,0.023417998574651183,N96 - M1-N
43,test,binary,AUC,0.7815048040131269,0.7849652027703679,0.0034603987572409123,M1-Y - Y96
43,test,binary,F1,0.7785762711864407,0.7845401440021736,0.005963872815732962,M1-Y - Y96
43,test,binary,Accuracy,0.717082467082467,0.7252252252252253,0.008142758142758222,M1-Y - Y96
43,test,k5,HR@1,0.613920704845815,0.6061674008810573,0.007753303964757707,N96 - M1-N
43,test,k5,NDCG@5,0.8237104381564747,0.8191371392216723,0.004573298934802406,N96 - M1-N
43,test,k5,MRR,0.7646196769456695,0.7586108663729828,0.006008810572686651,N96 - M1-N
43,test,k20_seed42,HR@1,0.2688986784140969,0.1971806167400881,0.07171806167400882,N96 - M1-N
43,test,k20_seed42,NDCG@5,0.37103626248934385,0.24884570648169552,0.12219055600764833,N96 - M1-N
43,test,k20_seed42,MRR,0.4069725230201683,0.32062602582168614,0.08634649719848214,N96 - M1-N
43,test,k50_seed42,HR@1,0.06766519823788546,0.06255506607929516,0.005110132158590297,N96 - M1-N
43,test,k50_seed42,NDCG@5,0.09062693518105605,0.08625989280353889,0.004367042377517158,N96 - M1-N
43,test,k50_seed42,MRR,0.14795180544114464,0.13632574613741738,0.01162605930372726,N96 - M1-N
44,test,binary,AUC,0.7802665958143491,0.7857056225275105,0.005439026713161432,M1-Y - Y96
44,test,binary,F1,0.7769764406896078,0.7875151678576244,0.010538727168016626,M1-Y - Y96
44,test,binary,Accuracy,0.7187283437283437,0.726957726957727,0.00822938322938327,M1-Y - Y96
44,test,k5,HR@1,0.6105726872246696,0.6005286343612335,0.010044052863436126,N96 - M1-N
44,test,k5,NDCG@5,0.8220727346840286,0.817267664294507,0.004805070389521604,N96 - M1-N
44,test,k5,MRR,0.7624375917767996,0.75605873715125,0.006378854625549546,N96 - M1-N
44,test,k20_seed42,HR@1,0.2373568281938326,0.19083700440528634,0.04651982378854627,N96 - M1-N
44,test,k20_seed42,NDCG@5,0.33996778810027045,0.2387944363405969,0.10117335175967354,N96 - M1-N
44,test,k20_seed42,MRR,0.3805081922725025,0.31715601347412326,0.06335217879837923,N96 - M1-N
44,test,k50_seed42,HR@1,0.07048458149779736,0.05920704845814978,0.011277533039647583,N96 - M1-N
44,test,k50_seed42,NDCG@5,0.09359592061004439,0.0835008598929818,0.010095060717062593,N96 - M1-N
44,test,k50_seed42,MRR,0.1533174452972071,0.13465463156286145,0.01866281373434564,N96 - M1-N
